x,y,A,B,C,D,E,F
3.15000,1.10359,0.3,0.1,0.0,0.0,0.0,0.6
8.20000,3.26340,0.4,0.1,0.2,0.0,0.3,0.0
7.50000,2.65981,0.1,0.7,0.1,0.0,0.0,0.1
6.55000,3.17679,0.0,0.0,0.1,0.3,0.6,0.0
9.60000,4.04019,0.7,0.1,0.0,0.0,0.1,0.1
7.85000,3.35000,0.1,0.2,0.4,0.0,0.3,0.0
5.45000,1.27680,0.0,0.1,0.0,0.3,0.6,0.0
10.30000,4.38660,0.1,0.2,0.0,0.0,0.3,0.4
3.30000,0.24019,0.1,0.0,0.2,0.7,0.0,0.0
12.35000,3.52320,0.0,0.1,0.6,0.2,0.0,0.1
8.75000,0.50000,0.2,0.3,0.0,0.3,0.0,0.2
2.85000,2.40000,0.4,0.5,0.0,0.0,0.1,0.0
7.90000,2.48660,0.1,0.2,0.3,0.0,0.0,0.4
1.90000,2.00000,0.0,0.0,0.3,0.0,0.7,0.0
3.15000,3.35000,0.1,0.5,0.0,0.4,0.0,0.0
5.15000,2.57320,0.0,0.2,0.7,0.0,0.0,0.1
9.90000,3.26340,0.3,0.0,0.3,0.3,0.1,0.0
3.20000,3.09019,0.2,0.2,0.0,0.6,0.0,0.0
4.10000,3.26340,0.3,0.0,0.4,0.0,0.0,0.3
12.10000,4.21340,0.0,0.5,0.3,0.1,0.1,0.0
5.00000,0.24019,0.0,0.6,0.0,0.2,0.0,0.2
7.50000,2.48660,0.2,0.5,0.2,0.0,0.0,0.1
7.85000,0.67321,0.1,0.3,0.0,0.2,0.0,0.4
3.05000,1.62321,0.1,0.7,0.0,0.0,0.0,0.2
5.20000,3.43660,0.0,0.2,0.6,0.0,0.2,0.0
5.20000,4.04019,0.0,0.4,0.2,0.4,0.0,0.0
3.90000,4.04019,0.6,0.0,0.2,0.0,0.2,0.0
10.50000,4.21340,0.3,0.1,0.0,0.0,0.3,0.3
10.80000,1.36340,0.5,0.0,0.2,0.0,0.1,0.2
5.10000,4.21340,0.0,0.4,0.4,0.2,0.0,0.0
9.80000,0.24019,0.5,0.0,0.0,0.1,0.3,0.1
10.00000,1.36340,0.2,0.0,0.3,0.0,0.4,0.1
7.95000,2.22680,0.2,0.1,0.5,0.0,0.0,0.2
13.60000,4.21340,0.0,0.2,0.2,0.4,0.2,0.0
13.75000,1.45000,0.0,0.3,0.0,0.2,0.2,0.3
6.40000,3.09019,0.0,0.0,0.3,0.2,0.5,0.0
3.00000,4.38660,0.2,0.6,0.2,0.0,0.0,0.0
8.30000,2.31340,0.5,0.1,0.1,0.0,0.0,0.3
4.95000,1.10359,0.0,0.7,0.0,0.1,0.2,0.0
6.20000,2.31340,0.0,0.0,0.4,0.4,0.0,0.2
7.60000,3.26340,0.2,0.3,0.4,0.0,0.1,0.0
12.55000,3.52320,0.0,0.1,0.4,0.2,0.0,0.3
9.60000,3.09019,0.7,0.0,0.1,0.1,0.1,0.0
1.80000,2.25000,0.0,0.0,0.4,0.6,0.0,0.0
5.05000,3.17679,0.0,0.5,0.3,0.0,0.2,0.0
6.50000,3.26340,0.0,0.0,0.1,0.4,0.5,0.0
7.45000,1.45000,0.3,0.4,0.0,0.2,0.1,0.0
3.05000,0.67321,0.1,0.0,0.7,0.2,0.0,0.0
